title,year,Id,Category
"Oceanic currents, not land masses, maintain the genetic structure of the mangrove Rhizophora mucronata Lam. (Rhizophoraceae) in Southeast Asia",2014,1,"Genetic,Oceanography,Algae,Sm,"
The origin of biogeographic segregation in the copper shark (carcharhinus brachyurus): An integ rati ve reconst ruction based on neontological and paleontological data,2020,2,"Behavior,Genetic,Spatial,Historical,Bg,Fish,"
Spatial and temporal patterns of genetic variation in the widespread antitropical deep-sea coral Paragorgia arborea,2012,3,"Deep_sea,Genetic,Spatial,Historical,Bg,Invertebrate,"
The biogeography of some marine planktonic diatoms,1976,4,"Habitat,Oceanography,Spatial,Bg,Plankton,"
Variation in palaeo-shorelines explains contemporary population genetic patterns of rocky shore species,2014,5,"Genetic,Oceanography,Historical,Fish,Sm,"
The role of ancestral seascape discontinuity and geographical distance in structuring rockfish populations in the Pacific Northwest,2022,6,"Genetic,Habitat,Oceanography,Historical,Fish,Sm,"
Temperature or transport? Range limits in marine species mediated solely by flow,2000,7,"Larval_duration,Oceanography,Spatial,Benthic,Sm,"
Biogeographical patterns of rocky shore community structure in south-east Australia: Effects of oceanographic conditions and heat stress,2015,8,"Community,Habitat,Misc,Oceanography,Benthic,Sm,"
Mitochondrial DNA and bindin gene sequence evolution among allopatric species of the sea urchin genus Arbacia,1998,9,"Genetic,Spatial,Bg,Invertebrate,Selection_incompatibility,"
"New species of Caelorinchus (Macrouridae, Gadiformes, Teleostei) from the Indian Ocean",1999,10,"Unknown,Spatial,Bg,Fish,"
"Genetic structure of Atlantic and Gulf of Mexico populations of sea bass, menhaden, and sturgeon: Influence of zoogeographic factors and life-history patterns",1990,11,"Behavior,Genetic,Habitat,Larval_duration,Historical,Fish,Sm,"
Habitat continuity and stepping-stone oceanographic distances explain population genetic connectivity of the brown alga Cystoseira amentacea,2017,12,"Genetic,Habitat,Larval_duration,Oceanography,Spatial,Algae,Sm,"
"A barrier to gene flow in the Asian paddle crab, Charybdis japonica, in the Yellow Sea",2015,13,"Genetic,Oceanography,Historical,Invertebrate,Sm,"
"Molecular evidence of distinct evolutionary units in the sandhopper Talorchestia capensis (Amphipoda, Talitridae) along South African coasts",2016,14,"Genetic,Larval_duration,Temperature,Invertebrate,Sm,"
Genetically separate populations of the ocean-skater Halobates sericeus (Heteroptera: Gerridae) have been maintained since the late Pleistocene,2012,15,"Genetic,Spatial,Temperature,Historical,Bg,Other,"
"Multiple ice-age refugia in Pacific cod, Gadus macrocephalus",2010,16,"Genetic,Historical,Bg,Fish,"
"Evidence for panmixia despite barriers to gene flow in the hooked mussel, Ischadium recurvum (Mytilidae; Brachidontinae) along the North American coastline",2019,17,"Misc,Invertebrate,nogap,"
Molecular insights into the population structures of cosmopolitan marine fishes,1998,18,"Spatial,Historical,Bg,Fish,GSpatial,"
Stepping stones to isolation: Impacts of a changing climate on the connectivity of fragmented fish populations,2018,19,"Genetic,Larval_duration,Oceanography,Spatial,Climate_change,Fish,Sm,"
First record of Ulva californica in the mainland of China: a single alien parthenogenetic population in discontinuous distribution,2022,20,"Invasive,Larval_duration,Spatial,Algae,GSpatial,Sm,"
Return of the ghosts of dispersal past: Historical spread and contemporary gene flow in the blue sea star Linckia laevigata,2014,21,"Genetic,Historical,Invertebrate,Sm,"
Population structure and speciation in tropical seas: Global phylogeography of the sea urchin Diadema,2001,22,"Genetic,Oceanography,Historical,Bg,Invertebrate,"
Global phylogeography of the scalloped hammerhead shark (Sphyrna lewini),2006,23,"Genetic,Habitat,Oceanography,Historical,Bg,Fish,"
Contrast across a boundary: Differing histories of two eelpout populations on a continuous continental slope,2020,24,"Genetic,Habitat,Historical,Fish,Sm,"
"Why are most aquatic plants widely distributed? Dispersal, clonal growth and small-scale heterogeneity in a stressful environment",2002,25,"Larval_duration,Misc,Spatial,Algae,GSpatial,Sm,Selection_incompatibility,"
"Towards a review of the decapod crustacea from the remote oceanic archipelago of Trindade and Martin Vaz, south Atlantic Ocean: New records and notes on ecology and zoogeography",2017,26,"Spatial,Bg,Invertebrate,"
Population subdivision promoted by a sea-level-change-driven bottleneck: A glimpse from the evolutionary history of the mangrove plant Aegiceras corniculatum,2022,27,"Genetic,Habitat,Larval_duration,Oceanography,Spatial,Historical,Algae,Sm,"
Oceanographic drivers of population differentiation in Indo-Pacific bottlenose (Tursiops aduncus) and humpback (Sousa spp.) dolphins of the northern Bay of Bengal,2017,28,"Genetic,Oceanography,Spatial,Mammal,Sm,"
Phylogeography of the bivalve Tegillarca granosa in coastal China: Implications for management and conservation,2012,29,"Genetic,Invasive,Historical,Invertebrate,Sm,"
Retention around and long-distance dispersal between oceanic islands by planktonic larvae of benthic gastropod Mollusca,1996,30,"Larval_duration,Oceanography,Spatial,Bg,Invertebrate,"
Contrasting effects of historical sea level rise and contemporary ocean currents on regional gene flow of rhizophora racemosa in eastern atlantic mangroves,2016,31,"Genetic,Oceanography,Historical,Algae,Sm,"
Vicariance and dispersal effects on phylogeographic structure and speciation in a widespread estuarine invertebrate,2006,32,"Genetic,Oceanography,Historical,Invertebrate,Sm,"
"Genetic divergence in antitropical pelagic marine fishes (Trachurus, Merluccius, and Scomber) between North and South America",1996,33,"Genetic,Spatial,Temperature,Bg,Fish,"
Plankton of the Red Sea and the Arabian Gulf,1984,34,"Unknown,Community,Oceanography,Sm,Plankton,"
Coastal vegetation of Oman,1999,35,"Unknown,Spatial,Algae,Sm,"
